gml_id,oid,aktualit,art,name,schluessel,gemeinde,gmdschl
DE094809,DE094809,2023-08-30Z,Gemarkung,Söllitz,"094809",Trausnitz,"09376173"
DE096211,DE096211,2023-08-22Z,Gemarkung,Rengersdorf II,"096211",Simbach,"09279135"
DE097893,DE097893,2023-08-21Z,Gemarkung,Steinbach,"097893",Stötten a.Auerberg,"09777171"
DE094803,DE094803,2023-08-30Z,Gemarkung,Oberköblitz,"094803",Wernberg-Köblitz,"09376150"
DE097396,DE097396,2023-08-31Z,Gemarkung,Schmiechen,"097396",Schmiechen,"09771163"
DE098846,DE098846,2023-08-26Z,Gemarkung,Aschau a.Inn,"098846",Aschau a.Inn,"09183113"
DE098844,DE098844,2023-08-26Z,Gemarkung,Mühldorf a.Inn,"098844",Mühldorf a.Inn,"09183128"
DE098413,DE098413,2023-03-11Z,Gemarkung,Thonbach,"098413",Isen,"09177123"
DE097382,DE097382,2023-08-31Z,Gemarkung,Eismannsberg,"097382",Ried,"09771160"
DE094925,DE094925,2023-08-30Z,Gemarkung,Seebarn,"094925",Neunburg vorm Wald,"09376147"
DE097513,DE097513,2023-08-29Z,Gemarkung,Gannertshofen,"097513",Buch,"09775118"
DE094907,DE094907,2023-08-30Z,Gemarkung,Dieterskirchen,"094907",Dieterskirchen,"09376122"
DE098836,DE098836,2023-08-26Z,Gemarkung,Rattenkirchen,"098836",Rattenkirchen,"09183138"
DE094220,DE094220,2023-06-28Z,Gemarkung,Zinst,"094220",Kulmain,"09377133"
DE093261,DE093261,2023-05-04Z,Gemarkung,Rockenbach,"093261",Gutenstetten,"09575128"
DE098367,DE098367,2023-08-11Z,Gemarkung,Hubenstein,"098367",Taufkirchen (Vils),"09177139"
DE094937,DE094937,2023-08-30Z,Gemarkung,Alletsried,"094937","Neukirchen-Balbini;Neunburg vorm Wald","09376146;09376147"
DE095466,DE095466,2023-07-21Z,Gemarkung,Hochdorf,"095466",Duggendorf,"09375131"
DE098676,DE098676,2023-08-18Z,Gemarkung,Grünwald,"098676",Grünwald,"09184122"
DE095038,DE095038,2023-08-30Z,Gemarkung,Engelsdorf,"095038",Pemfling,"09372146"
DE092341,DE092341,2023-08-24Z,Gemarkung,Würgau,"092341",Scheßlitz,"09471185"
DE095164,DE095164,2023-03-17Z,Gemarkung,Allmannsdorf,"095164","Blaibach;Miltach","09372115;09372143"
DE092327,DE092327,2023-08-24Z,Gemarkung,Vollmannsdorf,"092327",Burgebrach,"09471120"
DE095035,DE095035,2022-10-06Z,Gemarkung,Kollenzendorf,"095035",Stamsried,"09372161"
DE091958,DE091958,2023-05-18Z,Gemarkung,Martinlamitz,"091958",Schwarzenbach a.d.Saale,"09475168"
DE095462,DE095462,2023-07-21Z,Gemarkung,Fischbach,"095462",Kallmünz,"09375156"
DE098282,DE098282,2023-08-11Z,Gemarkung,Berghaselbach,"098282",Wolfersdorf,"09178156"
DE092333,DE092333,2023-08-24Z,Gemarkung,Weichenwasserlos,"092333",Scheßlitz,"09471185"
DE092315,DE092315,2023-08-24Z,Gemarkung,Unterhaid,"092315",Oberhaid,"09471165"
DE098267,DE098267,2023-08-11Z,Gemarkung,Figlsdorf,"098267",Nandlstadt,"09178144"
DE097517,DE097517,2023-05-14Z,Gemarkung,Rennertshofen,"097517",Buch,"09775118"
DE095618,DE095618,2023-08-16Z,Gemarkung,Albertsried,"095618",Schwarzach,"09278187"
DE098832,DE098832,2023-08-26Z,Gemarkung,Salmanskirchen,"098832",Ampfing,"09183112"
DE097381,DE097381,2023-08-31Z,Gemarkung,Kissing,"097381",Kissing,"09771142"
DE092814,DE092814,2023-06-13Z,Gemarkung,Mark,"092814",Mark,"09572459"
DE098218,DE098218,2023-08-11Z,Gemarkung,Alberzell,"098218",Gerolsbach,"09186125"
DE096885,DE096885,2023-07-08Z,Gemarkung,Wengen,"096885",Villenbach,"09773179"
DE096878,DE096878,2023-07-08Z,Gemarkung,Hirschbach,"096878",Wertingen,"09773182"
DE097362,DE097362,2023-08-31Z,Gemarkung,Burgadelzhausen,"097362",Adelzhausen,"09771111"
DE097980,DE097980,2023-08-21Z,Gemarkung,Gunzesried,"097980",Blaichach,"09780115"
DE095502,DE095502,2023-01-05Z,Gemarkung,Meihern,"095502",Riedenburg,"09273164"
DE092305,DE092305,2023-08-24Z,Gemarkung,Tiefenhöchstadt,"092305",Buttenheim,"09471123"
DE097354,DE097354,2023-08-31Z,Gemarkung,Tödtenried,"097354",Sielenbach,"09771165"
DE098116,DE098116,2023-08-07Z,Gemarkung,Unterweilenbach,"098116",Aresing,"09185113"
DE098649,DE098649,2023-08-18Z,Gemarkung,Unterweikertshofen,"098649",Erdweg,"09174118"
DE092299,DE092299,2023-08-24Z,Gemarkung,Strullendorf,"092299","Bamberg;Strullendorf","09461000;09471195"
DE092034,DE092034,2023-07-28Z,Gemarkung,Neudes,"092034","Höchstädt i.Fichtelgebirge;Marktleuthen;Röslau","09479126;09479135;09479145"
DE091011,DE091011,2023-06-27Z,Gemarkung,Dippach a.Main,"091011",Eltmann,"09674133"
DE093158,DE093158,2023-07-12Z,Gemarkung,Herpersdorf,"093158","Lichtenau;Petersaurach","09571175;09571190"
DE095143,DE095143,2023-06-16Z,Gemarkung,Hötzing,"095143",Schorndorf,"09372158"
DE091574,DE091574,2023-05-18Z,Gemarkung,Marienroth,"091574",Pressig,"09476164"
DE095264,DE095264,2023-07-21Z,Gemarkung,Hohengebraching,"095264",Pentling,"09375180"
DE098672,DE098672,2023-08-26Z,Gemarkung,Garching b.München,"098672",Garching b.München,"09184119"
DE095159,DE095159,2023-06-16Z,Gemarkung,Oberndorf,"095159",Miltach,"09372143"
DE097849,DE097849,2023-08-12Z,Gemarkung,Obergermaringen,"097849",Germaringen,"09777130"
DE092270,DE092270,2023-08-24Z,Gemarkung,Röbersdorf,"092270",Hirschaid,"09471145"
DE097336,DE097336,2023-08-31Z,Gemarkung,Hiltenfingen,"097336",Hiltenfingen,"09772157"
DE098632,DE098632,2023-08-26Z,Gemarkung,Obermarbach,"098632",Petershausen,"09174136"
DE098115,DE098115,2023-08-11Z,Gemarkung,Oberlauterbach,"098115",Aresing,"09185113"
DE097335,DE097335,2023-08-31Z,Gemarkung,Schwabmühlhausen,"097335",Langerringen,"09772170"
DE095129,DE095129,2023-07-21Z,Gemarkung,Siegenstein,"095129",Wald,"09372169"
DE097333,DE097333,2023-08-31Z,Gemarkung,Langerringen,"097333",Langerringen,"09772170"
